val_loss,val_auc,epoch,step,train_loss,train_auc,test_auc
0.6650862097740173,0.6290186643600464,0,779,,,
,,0,779,0.6794446110725403,0.5703519582748413,
,,1,780,,,0.6290186643600464
0.6657685041427612,0.6272322535514832,0,779,,,
,,0,779,0.6757950782775879,0.5903627276420593,
0.6657759547233582,0.6273317337036133,1,1559,,,
,,1,1559,0.6654458045959473,0.6285011768341064,
,,2,1560,,,0.6273317337036133
0.6715027689933777,0.6048188209533691,0,779,,,
,,0,779,0.6748429536819458,0.5930250883102417,
0.6687630414962769,0.614855170249939,1,1559,,,
,,1,1559,0.6690040826797485,0.6102421283721924,
0.6667523980140686,0.6273168325424194,2,2339,,,
,,2,2339,0.6670060157775879,0.6148567199707031,
0.6605955958366394,0.6329185962677002,3,3119,,,
,,3,3119,0.6645325422286987,0.6224139928817749,
0.6624893546104431,0.6380358934402466,4,3899,,,
,,4,3899,0.6603761911392212,0.633997917175293,
0.658150315284729,0.6448357105255127,5,4679,,,
,,5,4679,0.6584862470626831,0.6390196084976196,
0.6627938151359558,0.6441107988357544,6,5459,,,
,,6,5459,0.6553847193717957,0.6462405920028687,
0.6511893272399902,0.6532173156738281,7,6239,,,
,,7,6239,0.6543211936950684,0.6489244699478149,
0.6524920463562012,0.6552332043647766,8,7019,,,
,,8,7019,0.65235835313797,0.6536180973052979,
0.6500869393348694,0.6625967025756836,9,7799,,,
,,9,7799,0.6511572003364563,0.6567726135253906,
0.6504172682762146,0.6584779024124146,10,8579,,,
,,10,8579,0.6506085991859436,0.6578956842422485,
0.6464537978172302,0.6643040180206299,11,9359,,,
,,11,9359,0.6494033932685852,0.660599946975708,
0.6532861590385437,0.6646572351455688,12,10139,,,
,,12,10139,0.6482847332954407,0.6622693538665771,
0.6486554741859436,0.6674500703811646,13,10919,,,
,,13,10919,0.6474063396453857,0.6643967628479004,
0.6684571504592896,0.6640846729278564,14,11699,,,
,,14,11699,0.6476163268089294,0.6638973951339722,
0.647531270980835,0.6688441038131714,15,12479,,,
,,15,12479,0.6477946639060974,0.6641274094581604,
0.6472223401069641,0.6730743646621704,16,13259,,,
,,16,13259,0.6461732983589172,0.6671923995018005,
0.6506787538528442,0.6698756814002991,17,14039,,,
,,17,14039,0.646016001701355,0.6672711968421936,
0.648434042930603,0.6731885671615601,18,14819,,,
,,18,14819,0.6448529958724976,0.6695083379745483,
0.6419258117675781,0.6745913624763489,19,15599,,,
,,19,15599,0.6446403861045837,0.6705328822135925,
0.6420000791549683,0.675646185874939,20,16379,,,
,,20,16379,0.6444646716117859,0.6705929040908813,
0.6491732001304626,0.6750295162200928,21,17159,,,
,,21,17159,0.6436284184455872,0.6724545955657959,
0.6407272219657898,0.6783442497253418,22,17939,,,
,,22,17939,0.6437028646469116,0.6724109649658203,
0.6437968611717224,0.6742799878120422,23,18719,,,
,,23,18719,0.6428995132446289,0.6739473342895508,
0.645021915435791,0.6793264150619507,24,19499,,,
,,24,19499,0.642433762550354,0.6747685074806213,
0.6400805115699768,0.6790122389793396,25,20279,,,
,,25,20279,0.6422985196113586,0.674510657787323,
0.6440139412879944,0.6774002313613892,26,21059,,,
,,26,21059,0.6415616273880005,0.6763916015625,
0.638560950756073,0.6803110837936401,27,21839,,,
,,27,21839,0.6408568024635315,0.6774351596832275,
0.6385897397994995,0.682440996170044,28,22619,,,
,,28,22619,0.6408036947250366,0.6780029535293579,
0.6372129321098328,0.6834018230438232,29,23399,,,
,,29,23399,0.6399169564247131,0.6786899566650391,
0.6435974836349487,0.6796379089355469,30,24179,,,
,,30,24179,0.6399178504943848,0.6790542602539062,
0.6363790035247803,0.6855469346046448,31,24959,,,
,,31,24959,0.6395470499992371,0.680281937122345,
0.6350768208503723,0.6886765956878662,32,25739,,,
,,32,25739,0.6386100053787231,0.6819416284561157,
0.6317494511604309,0.696031928062439,33,26519,,,
,,33,26519,0.636255145072937,0.6861966848373413,
0.6322622895240784,0.6935112476348877,34,27299,,,
,,34,27299,0.6341115832328796,0.6905941367149353,
0.6373651027679443,0.6870582103729248,35,28079,,,
,,35,28079,0.6330628395080566,0.6922271251678467,
0.6354824304580688,0.6954782009124756,36,28859,,,
,,36,28859,0.6314940452575684,0.6951630115509033,
0.6347036957740784,0.6934829950332642,37,29639,,,
,,37,29639,0.6313542127609253,0.69537353515625,
0.6326806545257568,0.7006573677062988,38,30419,,,
,,38,30419,0.6305147409439087,0.6965411901473999,
0.6296766400337219,0.6976292729377747,39,31199,,,
,,39,31199,0.629000186920166,0.6995137929916382,
0.6286388635635376,0.6988241076469421,40,31979,,,
,,40,31979,0.6294981241226196,0.698172926902771,
0.6328305602073669,0.7001038789749146,41,32759,,,
,,41,32759,0.6283603310585022,0.7003424167633057,
0.6287090182304382,0.6995471715927124,42,33539,,,
,,42,33539,0.6283382177352905,0.7000558376312256,
0.6292667388916016,0.7024186849594116,43,34319,,,
,,43,34319,0.627518355846405,0.7015284299850464,
0.6279555559158325,0.7031558752059937,44,35099,,,
,,44,35099,0.6275342702865601,0.7016668319702148,
0.6279768943786621,0.7059112787246704,45,35879,,,
,,45,35879,0.6263103485107422,0.7038015723228455,
0.6245983242988586,0.7051013708114624,46,36659,,,
,,46,36659,0.6265445947647095,0.7029595375061035,
0.6237936615943909,0.7066906094551086,47,37439,,,
,,47,37439,0.6257244944572449,0.704330325126648,
0.6266133785247803,0.7063591480255127,48,38219,,,
,,48,38219,0.6269370317459106,0.7027288675308228,
0.6254549026489258,0.7044225931167603,49,38999,,,
,,49,38999,0.6259759664535522,0.7038369178771973,
0.6382748484611511,0.7064388990402222,50,39779,,,
,,50,39779,0.6253517866134644,0.7047160863876343,
0.6255407333374023,0.7081432342529297,51,40559,,,
,,51,40559,0.6254671812057495,0.7048383951187134,
0.6237114071846008,0.7059855461120605,52,41339,,,
,,52,41339,0.6245419383049011,0.7063273787498474,
0.6340954899787903,0.7073634266853333,53,42119,,,
,,53,42119,0.6251250505447388,0.7050436735153198,
0.6231566667556763,0.7100805044174194,54,42899,,,
,,54,42899,0.624896228313446,0.7057885527610779,
0.6248310208320618,0.7046271562576294,55,43679,,,
,,55,43679,0.6246454119682312,0.7057313919067383,
0.6252966523170471,0.7088025808334351,56,44459,,,
,,56,44459,0.624308705329895,0.7065733671188354,
0.6281089782714844,0.7056812047958374,57,45239,,,
,,57,45239,0.6242896318435669,0.7064109444618225,
0.6230754852294922,0.7101646661758423,58,46019,,,
,,58,46019,0.623072624206543,0.7083807587623596,
0.6263774037361145,0.7052054405212402,59,46799,,,
,,59,46799,0.6239042282104492,0.7071249485015869,
0.6243443489074707,0.7101188898086548,60,47579,,,
,,60,47579,0.6238532662391663,0.7074425220489502,
0.6232817769050598,0.7085869312286377,61,48359,,,
