val_loss,val_auc,epoch,step,train_loss,train_auc,test_auc
0.5314510464668274,0.8289680480957031,0,234,,,
,,0,234,0.604918897151947,0.7488675117492676,
0.5086038112640381,0.8441940546035767,1,469,,,
,,1,469,0.5250403881072998,0.8260014057159424,
0.4798060953617096,0.8540597558021545,2,704,,,
,,2,704,0.4995501935482025,0.8397138714790344,
0.48325100541114807,0.8556397557258606,3,939,,,
,,3,939,0.49549633264541626,0.8411010503768921,
0.4783021807670593,0.8563778400421143,4,1174,,,
,,4,1174,0.491834819316864,0.8433723449707031,
0.4735439717769623,0.8579362630844116,5,1409,,,
,,5,1409,0.48874083161354065,0.8465311527252197,
0.4903741776943207,0.8592180609703064,6,1644,,,
,,6,1644,0.4891658127307892,0.8462998867034912,
0.5083829760551453,0.8589789271354675,7,1879,,,
,,7,1879,0.49263760447502136,0.8449037671089172,
0.4733502268791199,0.8583541512489319,8,2114,,,
,,8,2114,0.49492451548576355,0.8427843451499939,
0.4750046133995056,0.858063280582428,9,2349,,,
,,9,2349,0.49356192350387573,0.8434169292449951,
0.47188544273376465,0.8588582873344421,10,2584,,,
,,10,2584,0.49046948552131653,0.8458170890808105,
0.4836273789405823,0.8589656949043274,11,2819,,,
,,11,2819,0.4966012239456177,0.8426394462585449,
0.47959214448928833,0.8575817346572876,12,3054,,,
,,12,3054,0.496684730052948,0.8412801027297974,
0.5071970820426941,0.8573349714279175,13,3289,,,
,,13,3289,0.49503421783447266,0.8439254760742188,
0.4806172251701355,0.8571082949638367,14,3524,,,
,,14,3524,0.4978979229927063,0.8419389128684998,
0.4943665564060211,0.8571122288703918,15,3759,,,
,,15,3759,0.49868831038475037,0.8411250114440918,
0.4754255414009094,0.858497142791748,16,3994,,,
,,16,3994,0.4986186623573303,0.8424440622329712,
0.4782949984073639,0.8578492403030396,17,4229,,,
,,17,4229,0.502713680267334,0.8396641612052917,
0.4836425185203552,0.857271671295166,18,4464,,,
,,18,4464,0.4978896975517273,0.8421775102615356,
0.4739435911178589,0.859764039516449,19,4699,,,
,,19,4699,0.4990309178829193,0.8405693769454956,
0.4763909876346588,0.856764554977417,20,4934,,,
,,20,4934,0.50221186876297,0.8391090631484985,
0.49105796217918396,0.8541473150253296,21,5169,,,
,,21,5169,0.5005403161048889,0.8395353555679321,
0.5324527621269226,0.8579416275024414,22,5404,,,
,,22,5404,0.5065845251083374,0.8362804651260376,
0.4850897490978241,0.8533205389976501,23,5639,,,
,,23,5639,0.5044530630111694,0.8371277451515198,
0.4774303734302521,0.8583090305328369,24,5874,,,
,,24,5874,0.5024341940879822,0.8382604122161865,
0.483550101518631,0.8570202589035034,25,6109,,,
,,25,6109,0.5096662640571594,0.8342829346656799,
0.4827989637851715,0.8560696244239807,26,6344,,,
,,26,6344,0.5043137073516846,0.8366864919662476,
0.4823414385318756,0.8579800724983215,27,6579,,,
,,27,6579,0.5028150677680969,0.8390864133834839,
0.5917656421661377,0.8566979169845581,28,6814,,,
,,28,6814,0.5068462491035461,0.8359124660491943,
0.48837438225746155,0.8546943664550781,29,7049,,,
,,29,7049,0.5118728280067444,0.8321293592453003,
0.5270731449127197,0.8582429885864258,30,7284,,,
,,30,7284,0.5009500980377197,0.8399248123168945,
0.47629493474960327,0.8577241897583008,31,7519,,,
,,31,7519,0.5025548934936523,0.8382854461669922,
0.48767417669296265,0.8542475700378418,32,7754,,,
,,32,7754,0.5085178017616272,0.8354020118713379,
0.4792269468307495,0.8566577434539795,33,7989,,,
,,33,7989,0.5019339919090271,0.8374307751655579,
0.5026214122772217,0.854887843132019,34,8224,,,
,,34,8224,0.5029228329658508,0.8375592827796936,
0.47744306921958923,0.8559985160827637,35,8459,,,
,,35,8459,0.5048221349716187,0.8364410400390625,
0.4809207320213318,0.8546508550643921,36,8694,,,
,,36,8694,0.49962010979652405,0.8399724960327148,
0.5120395421981812,0.8558605313301086,37,8929,,,
,,37,8929,0.5048006176948547,0.8366729617118835,
0.4776914715766907,0.8550350069999695,38,9164,,,
,,38,9164,0.5025387406349182,0.8378258943557739,
0.4765797257423401,0.8553224205970764,39,9399,,,
,,39,9399,0.5012833476066589,0.8386029005050659,
0.48189249634742737,0.8567006587982178,40,9634,,,
,,40,9634,0.4982666075229645,0.8399845361709595,
0.4769526720046997,0.8571856021881104,41,9869,,,
,,41,9869,0.5016871094703674,0.8381732106208801,
